web_scraper_order,web_scraper_start_url,titre,prix,kilometrage,boite_vitesses,region,lien
"1786742641-129","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2008 Toyota RAV4","CFA 2 900 000","130 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-toyota-rav4-dakar-dakar-4163"
"1786742641-130","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2007 Peugeot 307","CFA 2 500 000","120 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-4364"
"1786742641-131","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2007 BMW 315","CFA 1 500 000","120 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-bmw-315-dakar-dakar-4141"
"1786742641-132","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2010 Jeep Patriot","CFA 3 900 000","140 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-jeep-patriot-dakar-dakar-2808"
"1786742641-133","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2008 Peugeot 206","CFA 2 300 000","164 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-206-dakar-dakar-762"
"1786742641-134","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2011 Mitsubishi ASX","CFA 6 000 000","94 954 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-mitsubishi-asx-dakar-dakar-1150"
"1786742641-135","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2008 Citroen C3","CFA 1 800 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-1799"
"1786742641-136","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2009 Mitsubishi L200","CFA 7 800 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-876"
"1786742641-137","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2007 Peugeot 307","CFA 2 400 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2086"
"1786742641-138","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2008 Peugeot 308","CFA 3 300 000","120 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-1147"
"1786742641-139","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2008 Toyota Corolla","CFA 3 300 000","140 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-toyota-corolla-dakar-dakar-880"
"1786742641-140","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2010 BMW X1","CFA 3 700 000","150 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-bmw-x1-dakar-dakar-280"
"1786742641-141","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2008 Peugeot 207","CFA 1 800 000","120 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-207-dakar-dakar-908"
"1786742641-142","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2002 Renault 21","CFA 2 700 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-renault-21-dakar-dakar-2157"
"1786742641-143","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2007 Peugeot 307","CFA 2 100 000","132 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3546"
"1786742641-144","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2007 Volkswagen Passat","CFA 1 600 000","120 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-270"
"1786742641-145","https://www.gaaraas.com/fr/users/dakar-auto?page=6","2006 Renault Megane","CFA 1 600 000","180 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-886"
"1786742645-146","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2009 Toyota Camry","CFA 3 500 000","145 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-toyota-camry-dakar-dakar-3067"
"1786742645-147","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2008 Peugeot 307","CFA 2 800 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1575"
"1786742645-148","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2012 Chevrolet Camaro","CFA 4 000 000","220 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-chevrolet-camaro-dakar-dakar-325"
"1786742645-149","https://www.gaaraas.com/fr/users/dakar-auto?page=5","1989 Renault 19","CFA 2 300 000","180 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-renault-19-dakar-dakar-1861"
"1786742645-150","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2009 Kia Sorento","CFA 3 800 000","140 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-kia-sorento-dakar-dakar-2807"
"1786742645-151","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2007 Peugeot 407","CFA 2 800 000","120 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-407-dakar-dakar-569"
"1786742645-152","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2008 Nissan Murano","CFA 3 200 000","115 305 km","Automatique","Dakar","/fr/vehicle_listings/annonce-nissan-murano-dakar-dakar-855"
"1786742645-153","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2003 Peugeot 406","CFA 2 600 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-1152"
"1786742645-154","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2004 Peugeot 605","CFA 2 200 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-605-dakar-dakar-2622"
"1786742645-155","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2012 Mitsubishi L200","CFA 11 900 000","116 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-291"
"1786742645-156","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2000 Toyota Prado","CFA 4 000 000","140 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-toyota-prado-dakar-dakar-2902"
"1786742645-157","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2005 Citroen C5","CFA 2 100 000","334 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-citroen-c5-dakar-dakar-4380"
"1786742645-158","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2007 Peugeot 307","CFA 2 000 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-862"
"1786742645-159","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2000 Renault 19","CFA 2 000 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-renault-19-dakar-dakar-2615"
"1786742645-160","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2008 Skoda Octavia","CFA 1 900 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-skoda-octavia-dakar-dakar-1928"
"1786742645-161","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2004 Peugeot 307","CFA 2 700 000","140 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3584"
"1786742645-162","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2013 Hyundai Elantra","CFA 6 500 000","66 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-hyundai-elantra-dakar-dakar-1235"
"1786742645-163","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2007 Peugeot 807","CFA 2 800 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-807-dakar-dakar-1879"
"1786742645-164","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2002 Peugeot 405","CFA 2 200 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-405-dakar-dakar-2514"
"1786742645-165","https://www.gaaraas.com/fr/users/dakar-auto?page=5","2007 Peugeot 308","CFA 2 800 000","230 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-4198"
"1786742651-166","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2014 Nissan Altima","CFA 2 500 000","110 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-nissan-altima-dakar-dakar-4139"
"1786742651-167","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2005 Renault Scenic","CFA 2 200 000","140 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-2610"
"1786742651-168","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2005 Renault Megane","CFA 2 000 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-1779"
"1786742651-169","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2004 Renault Clio","CFA 1 900 000","120 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-renault-clio-dakar-dakar-418"
"1786742651-170","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2011 Honda Elysion","CFA 3 500 000","160 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-honda-elysion-dakar-dakar-1905"
"1786742651-171","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2007 Honda Civic","CFA 2 300 000","180 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-honda-civic-dakar-dakar-806"
"1786742651-172","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2009 Toyota Aygo","CFA 2 700 000","150 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-toyota-aygo-dakar-dakar-1778"
"1786742651-173","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2007 Peugeot 307","CFA 2 000 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1764"
"1786742651-174","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2000 Peugeot 309","CFA 2 800 000","130 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-309-dakar-dakar-4162"
"1786742651-175","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2012 Peugeot 207","CFA 3 800 000","142 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-peugeot-207-dakar-dakar-1989"
"1786742651-176","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2008 Mitsubishi L200","CFA 7 200 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-1998"
"1786742651-177","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2008 Peugeot 308","CFA 2 500 000","140 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-407"
"1786742651-178","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2014 Ford Focus","CFA 4 500 000","115 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-ford-focus-dakar-dakar-3026"
"1786742651-179","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2002 Rover 600","CFA 1 800 000","128 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-rover-600-dakar-dakar-677"
"1786742651-180","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2011 Hyundai Sonata","CFA 3 500 000","66 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-hyundai-sonata-dakar-dakar-2221"
"1786742651-181","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2006 Hyundai Tucson","CFA 3 000 000","164 231 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-739"
"1786742651-182","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2006 Volkswagen Passat","CFA 2 500 000","164 686 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-820"
"1786742651-183","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2006 Ford Taurus","CFA 3 800 000","200 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-ford-taurus-dakar-dakar-3404"
"1786742651-184","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2008 Peugeot 307","CFA 2 500 000","128 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-583"
"1786742651-185","https://www.gaaraas.com/fr/users/dakar-auto?page=4","2010 Dacia Logan","CFA 2 000 000","161 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-dacia-logan-dakar-dakar-848"
"1786742656-186","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2007 Peugeot 307","CFA 2 300 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1326"
"1786742656-187","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2003 Volkswagen Golf","CFA 2 500 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-volkswagen-golf-dakar-dakar-740"
"1786742656-188","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2007 Peugeot 307","CFA 2 300 000","210 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-154"
"1786742656-189","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2008 Hyundai Tucson","CFA 3 400 000","140 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-2806"
"1786742656-190","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2011 Nissan Murano","CFA 2 300 000","188 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-nissan-murano-dakar-dakar-4351"
"1786742656-191","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2000 Volkswagen Golf","CFA 1 500 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-volkswagen-golf-dakar-dakar-2193"
"1786742656-192","https://www.gaaraas.com/fr/users/dakar-auto?page=3","Citroen C3","CFA 1 800 000","220 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-304"
"1786742656-193","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2008 Hyundai Tucson","CFA 2 600 000","110 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-4140"
"1786742656-194","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2008 Mitsubishi Spacestar","CFA 2 000 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-mitsubishi-spacestar-dakar-dakar-2614"
"1786742656-195","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2008 Peugeot 307","CFA 3 200 000","140 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3463"
"1786742656-196","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2007 Peugeot 307","CFA 2 100 000","140 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-3585"
"1786742656-197","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2007 Peugeot 307","CFA 2 200 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2612"
"1786742656-198","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2011 Ford Edge","CFA 9 800 000","80 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-ford-edge-dakar-dakar-1102"
"1786742656-199","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2009 Peugeot 308","CFA 3 600 000","140 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-3068"
"1786742656-200","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2005 Toyota Auris","CFA 3 500 000","179 315 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-toyota-auris-dakar-dakar-3321"
"1786742656-201","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2008 Ford Edge","CFA 7 000 000","125 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-ford-edge-dakar-dakar-899"
"1786742656-202","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2007 Peugeot 307","CFA 2 500 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2633"
"1786742656-203","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2006 Citroen C4","CFA 2 200 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-citroen-c4-dakar-dakar-2583"
"1786742656-204","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2004 Mercedes‒Benz 190","CFA 2 200 000","140 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-mercedes-benz-190-dakar-dakar-3645"
"1786742656-205","https://www.gaaraas.com/fr/users/dakar-auto?page=3","2012 Peugeot 308","CFA 3 800 000","103 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-895"
"1786742659-206","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Renault Clio","CFA 2 700 000","120 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-renault-clio-dakar-dakar-653"
"1786742659-207","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Skoda Fabia","CFA 1 800 000","220 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-skoda-fabia-dakar-dakar-611"
"1786742659-208","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Volkswagen Passat","CFA 2 000 000","90 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-406"
"1786742659-209","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2011 Toyota Camry","CFA 3 800 000","0 km","Automatique","Dakar","/fr/vehicle_listings/annonce-toyota-camry-dakar-dakar-463"
"1786742659-210","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Kia Soul","CFA 3 500 000","172 900 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-kia-soul-dakar-dakar-2469"
"1786742659-211","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Renault Laguna","CFA 2 300 000","84 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-renault-laguna-dakar-dakar-1895"
"1786742659-212","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Volkswagen Passat","CFA 2 900 000","265 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-volkswagen-passat-dakar-dakar-3470"
"1786742659-213","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 307","CFA 2 200 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2047"
"1786742659-214","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2005 Toyota Land Cruiser Prado","CFA 3 800 000","130 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-toyota-land-cruiser-prado-dakar-dakar-4202"
"1786742659-215","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Ford Focus","CFA 2 150 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-ford-focus-dakar-dakar-3057"
"1786742659-216","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Mazda 6","CFA 4 000 000","182 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-mazda-6-dakar-dakar-3224"
"1786742659-217","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Hyundai Getz","CFA 1 800 000","98 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-hyundai-getz-dakar-dakar-4133"
"1786742659-218","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2004 Peugeot 406","CFA 2 000 000","18 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-1343"
"1786742659-219","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2002 Peugeot 406","CFA 2 200 000","140 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-3223"
"1786742659-220","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Renault Megane","CFA 1 700 000","180 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-1107"
"1786742659-221","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Mitsubishi L200","CFA 7 500 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-mitsubishi-l200-dakar-dakar-2431"
"1786742659-222","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2012 Skoda Octavia","CFA 4 000 000","70 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-skoda-octavia-dakar-dakar-2498"
"1786742659-223","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Peugeot 307","CFA 1 900 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2632"
"1786742659-224","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Hyundai Tucson","CFA 4 000 000","140 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-hyundai-tucson-dakar-dakar-3571"
"1786742659-225","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Peugeot 308","CFA 3 300 000","256 730 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-2219"
"1786742662-226","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Ford Escape","CFA 6 000 000","180 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-704"
"1786742662-227","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Renault Megane","CFA 1 600 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-renault-megane-dakar-dakar-1132"
"1786742662-228","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2003 Opel Astra","CFA 2 500 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-opel-astra-dakar-dakar-1153"
"1786742662-229","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","CFA 2 400 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1341"
"1786742662-230","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Citroen C3","CFA 2 300 000","128 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-citroen-c3-dakar-dakar-610"
"1786742662-231","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Ford Escape","CFA 4 000 000","109 400 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-3738"
"1786742662-232","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Ford Escort","CFA 2 700 000","174 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-ford-escort-dakar-dakar-644"
"1786742662-233","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2014 Nissan Qashqai","CFA 7 800 000","63 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-nissan-qashqai-dakar-dakar-3432"
"1786742662-234","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2002 Renault 19","CFA 2 100 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-renault-19-dakar-dakar-2726"
"1786742662-235","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Dacia Logan","CFA 2 200 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-dacia-logan-dakar-dakar-2296"
"1786742662-236","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Peugeot 308","CFA 2 300 000","311 368 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-308-dakar-dakar-1777"
"1786742662-237","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Ford Escape","CFA 4 500 000","120 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-ford-escape-dakar-dakar-3415"
"1786742662-238","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Citroen C4","CFA 2 100 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-citroen-c4-dakar-dakar-2214"
"1786742662-239","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Citroen Berlingo","CFA 3 300 000","214 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-citroen-berlingo-dakar-dakar-2430"
"1786742662-240","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Renault Scenic","CFA 1 300 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-renault-scenic-dakar-dakar-2451"
"1786742662-241","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 SsangYong Kyron","CFA 2 000 000","120 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-ssangyong-kyron-dakar-dakar-1184"
"1786742662-242","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Land Rover Range Rover Sport","CFA 6 000 000","130 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-land-rover-range-rover-sport-dakar-dakar-4197"
"1786742662-243","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Daewoo Matiz","CFA 3 000 000","120 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-daewoo-matiz-dakar-dakar-672"
"1786742662-244","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2012 Nissan Altima","CFA 3 000 000","130 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-nissan-altima-dakar-dakar-3589"
"1786742662-245","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Peugeot 307","CFA 2 600 000","250 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2371"
